x,Cf,Cf_theory
0.134681,0.000533482,0.000295068
0.134963,0.000471954,0.000294759
0.135246,0.000656084,0.00029445
0.135529,0.000640176,0.000294143
0.135811,0.000420561,0.000293837
0.136094,0.000388295,0.000293532
0.136376,0.000488625,0.000293227
0.136659,0.000575985,0.000292924
0.136942,0.000421795,0.000292621
0.137224,0.000598726,0.00029232
0.137507,0.000483968,0.000292019
0.13779,0.000655651,0.00029172
0.138072,0.000469241,0.000291421
0.138355,0.000559636,0.000291123
0.138638,0.000638291,0.000290826
0.13892,0.000636515,0.00029053
0.139203,0.00057668,0.000290235
0.139486,0.000668485,0.000289941
0.139768,0.000634037,0.000289648
0.140051,0.000490802,0.000289355
0.140334,0.000709084,0.000289064
0.140616,0.000598497,0.000288773
0.140833,5.17405e-05,0.00028855
0.140899,0.000535583,0.000288483
0.141181,0.000524604,0.000288194
0.141464,0.000562403,0.000287906
0.141747,0.000649215,0.000287619
0.142029,0.000603575,0.000287333
0.142312,0.000417932,0.000287047
0.142595,0.000601821,0.000286763
0.142877,0.000460445,0.000286479
0.14316,0.000567099,0.000286196
0.143443,0.000430383,0.000285914
0.143725,0.000443371,0.000285632
0.144008,0.000568889,0.000285352
0.144291,0.000448118,0.000285072
0.144573,0.000626375,0.000284794
0.144856,0.000471624,0.000284516
0.145138,0.000622578,0.000284238
0.145421,0.000427388,0.000283962
0.145704,0.000574026,0.000283687
0.145986,0.000492419,0.000283412
0.146269,0.000391656,0.000283138
0.146552,0.000441052,0.000282865
0.146834,0.000615933,0.000282592
0.147117,0.000461273,0.000282321
0.1474,0.000617959,0.00028205
0.147682,0.000787362,0.00028178
0.147965,0.000407136,0.000281511
0.148248,0.000625967,0.000281242
0.14853,0.000468983,0.000280974
0.148813,0.000659966,0.000280707
0.149096,0.000666496,0.000280441
0.149167,4.90053e-05,0.000280374
0.149378,0.000575901,0.000280176
0.149661,0.000544461,0.000279911
0.149943,0.000571332,0.000279647
0.150226,0.000658293,0.000279384
0.150509,0.000656038,0.000279121
0.150791,0.000389314,0.00027886
0.151074,0.000569486,0.000278599
0.151357,0.000423864,0.000278339
0.151639,0.000450523,0.000278079
0.151922,0.00046638,0.00027782
0.152205,0.000579647,0.000277562
0.152487,0.000562646,0.000277305
0.15277,0.000635455,0.000277048
0.153053,0.000520792,0.000276792
0.153335,0.000519555,0.000276537
0.153618,0.000454861,0.000276282
0.153901,0.000618314,0.000276029
0.154183,0.000648893,0.000275776
0.154466,0.000415739,0.000275523
0.154748,0.000380456,0.000275271
0.155031,0.00042664,0.00027502
0.155314,0.000596645,0.00027477
0.155596,0.000441475,0.00027452
0.155879,0.000534371,0.000274271
0.156162,0.000565756,0.000274023
0.156444,0.000578048,0.000273775
0.156727,0.000656623,0.000273528
0.15701,0.000660672,0.000273282
0.157292,0.000454907,0.000273036
0.1575,3.56419e-05,0.000272856
0.157575,0.000638409,0.000272791
0.157858,0.000485233,0.000272547
0.15814,0.000612157,0.000272303
0.158423,0.000431479,0.00027206
0.158705,0.000580726,0.000271818
0.158988,0.000794003,0.000271576
0.159271,0.000658021,0.000271335
0.159553,0.000740045,0.000271095
0.159836,0.000745377,0.000270855
0.160119,0.000470564,0.000270616
0.160401,0.000647816,0.000270377
0.160684,0.000501207,0.000270139
0.160967,0.000718589,0.000269902
0.161249,0.000493556,0.000269665
0.161532,0.000650409,0.000269429
0.161815,0.000670663,0.000269194
0.162097,0.000551219,0.000268959
0.16238,0.000392852,0.000268725
0.162663,0.000428473,0.000268491
0.162945,0.000559662,0.000268258
0.163228,0.00043074,0.000268026
0.16351,0.000377915,0.000267794
0.163793,0.00045075,0.000267563
0.164076,0.000546871,0.000267333
0.164358,0.000416032,0.000267103
0.164641,0.000569431,0.000266873
0.164924,0.000483685,0.000266645
0.165206,0.00038401,0.000266416
0.165489,0.000413286,0.000266189
0.165772,0.000646266,0.000265962
0.165833,4.79722e-05,0.000265912
0.166054,0.000636743,0.000265735
0.166337,0.000484705,0.000265509
0.16662,0.000647063,0.000265284
0.166902,0.000501368,0.000265059
0.167185,0.00071941,0.000264835
0.167467,0.000493652,0.000264612
0.16775,0.000650853,0.000264389
0.168033,0.000670424,0.000264166
0.168315,0.000551519,0.000263944
0.168598,0.000394748,0.000263723
0.168881,0.00042794,0.000263502
0.169163,0.000559184,0.000263282
0.169446,0.000430184,0.000263062
0.169729,0.00037738,0.000262843
0.170011,0.000450168,0.000262625
0.170294,0.000546277,0.000262406
0.170577,0.000415488,0.000262189
0.170859,0.000568775,0.000261972
0.171142,0.000483078,0.000261756
