Step, Residual_VM
836, 1130.5
837, 1127.86
838, 1129.14
839, 1125.03
840, 1122.46
841, 1121.92
842, 1119.35
843, 1117.93
844, 1116.85
845, 1112.29
846, 1109.35
847, 1111.07
848, 1108.4
849, 1106.82
850, 1102.55
851, 1102.37
852, 1102.56
853, 1098.4
854, 1097.69
855, 1095.3
856, 1092.17
857, 1093.2
858, 1090.88
859, 1089.74
860, 1086.64
861, 1083.96
862, 1086.13
863, 1083.05
864, 1078.96
865, 1078.86
866, 1077.11
867, 1074.71
868, 1073.4
869, 1070.84
870, 1067.5
871, 1068.41
872, 1064.67
873, 1065.83
874, 1060.14
875, 1059.56
876, 1059.87
877, 1057.32
878, 1055.96
879, 1053.22
880, 1049.72
881, 1052.92
882, 1048.49
883, 1047.13
884, 1046.03
885, 1042.92
886, 1043.98
887, 1040.88
888, 1038.77
889, 1037.26
890, 1035.14
891, 1033.97
892, 1032.06
893, 1032.08
894, 1028.88
895, 1029.42
896, 1026.08
897, 1023.23
898, 1024.43
899, 1022.71
900, 1021.48
901, 1018.59
902, 1016.14
903, 1018.26
904, 1015.45
905, 1011.67
906, 1011.91
907, 1010.5
908, 1008.09
909, 1005.37
910, 1007.19
911, 1004.67
912, 1003.65
913, 1000.74
914, 998.885
915, 1000.61
916, 997.581
917, 994.499
918, 994.254
919, 992.942
920, 990.588
921, 989.296
922, 986.913
923, 984.354
924, 984.687
925, 983.163
926, 981.885
927, 978.667
928, 976.264
929, 977.794
930, 975.594
931, 973.595
932, 971.709
933, 969.631
934, 970.754
935, 967.87
936, 966.573
937, 965.159
938, 962.685
939, 963.811
940, 961.261
941, 958.905
942, 957.297
943, 956.191
944, 954.933
945, 952.72
946, 953.57
947, 950.504
948, 950.823
949, 947.861
950, 945.483
951, 946.858
952, 944.684
953, 944.049
954, 941.358
955, 939.38
956, 941.188
957, 938.628
958, 935.322
959, 935.305
960, 934.195
961, 932.047
962, 931.018
963, 928.752
964, 926.807
965, 926.801
966, 924.976
967, 925.025
968, 920.815
969, 919.321
970, 921.123
971, 918.196
972, 917.318
973, 914.671
974, 913.522
975, 914.747
976, 911.42
977, 910.528
978, 909.744
979, 907.013
980, 907.846
981, 905.617
982, 903.542
983, 902.702
984, 901.27
985, 900.089
986, 898.378
987, 898.938
988, 896.239
989, 896.11
990, 894.115
991, 891.517
992, 892.594
993, 891.151
994, 890.256
995, 887.861
996, 885.96
997, 887.688
998, 885.544
999, 882.462
1000, 882.456
1001, 881.699
1002, 879.697
1003, 878.468
1004, 876.88
1005, 874.726
1006, 874.947
1007, 873.267
1008, 873.007
1009, 869.543
1010, 868.203
1011, 869.5
1012, 867.495
1013, 864.743
1014, 862.913
1015, 863.018
1016, 860.493
1017, 859.134
1018, 859.909
1019, 857.732
1020, 856.79
1021, 854.636
1022, 853.294
1023, 853.884
1024, 851.188
1025, 849.92
1026, 848.309
1027, 846.808
1028, 845.486
1029, 845.278
1030, 844.05
1031, 842.049
1032, 841.059
1033, 842.372
1034, 839.745
1035, 838.214
1036, 837.569
1037, 836.295
1038, 836.827
1039, 834.339
1040, 832.617
1041, 832.238
1042, 831.403
1043, 829.475
1044, 829.266
1045, 826.351
1046, 825.214
1047, 825.595
1048, 824.423
1049, 822.849
1050, 821.068
1051, 819.467
1052, 820.705
1053, 818.04
1054, 817.237
1055, 816.318
1056, 814.22
1057, 814.973
1058, 812.718
1059, 811.426
1060, 810.357
1061, 809.226
1062, 808.112
1063, 806.792
1064, 807.205
1065, 804.636
1066, 804.662
1067, 802.84
1068, 801.091
1069, 801.698
1070, 800.268
1071, 799.716
1072, 797.642
1073, 795.687
1074, 797.434
1075, 795.544
1076, 793.111
1077, 792.566
1078, 792.276
1079, 790.652
1080, 789.419
1081, 787.455
1082, 786.537
1083, 786.654
1084, 784.942
1085, 784.559
1086, 781.839
1087, 780.683
1088, 781.443
1089, 779.802
1090, 777.583
1091, 776.407
1092, 775.955
1093, 773.792
1094, 772.37
1095, 773.616
1096, 770.927
1097, 769.669
1098, 770.4
1099, 768.997
1100, 768.598
1101, 766.878
1102, 764.803
1103, 766.317
1104, 764.736
1105, 762.505
1106, 761.855
1107, 762.303
1108, 759.848
1109, 758.796
1110, 759.542
1111, 758.329
1112, 756.923
1113, 755.471
1114, 754.24
1115, 755.471
1116, 753.482
1117, 751.004
1118, 751.384
1119, 750.667
1120, 748.783
1121, 747.088
1122, 748.557
1123, 746.926
1124, 744.56
1125, 744.121
1126, 743.768
1127, 741.87
1128, 740.314
1129, 741.415
1130, 739.781
1131, 738.754
1132, 737.234
1133, 736.131
1134, 737.183
1135, 734.846
1136, 733.836
1137, 733.525
1138, 731.772
1139, 732.078
1140, 730.524
1141, 729.048
1142, 728.559
1143, 727.448
1144, 726.835
1145, 725.409
1146, 725.816
1147, 723.883
1148, 723.793
1149, 722.233
1150, 720.531
1151, 721.361
1152, 720.203
1153, 719.396
1154, 717.958
1155, 716.518
1156, 717.589
1157, 716.238
1158, 713.739
1159, 714.134
1160, 713.593
1161, 711.893
1162, 711.067
1163, 709.817
1164, 708.546
1165, 708.823
1166, 706.989
1167, 707.179
1168, 704.907
1169, 703.451
1170, 704.556
1171, 703.158
1172, 702.157
1173, 700.936
1174, 699.516
1175, 700.771
1176, 698.603
1177, 697.724
1178, 697.334
1179, 695.787
1180, 696.405
1181, 694.532
1182, 693.28
